"COLLEGE","INCOME","OVERAGE","LEFTOVER","HOUSE","HANDSET_PRICE","OVER_15MINS_CALLS_PER_MONTH","AVERAGE_CALL_DURATION","REPORTED_SATISFACTION","REPORTED_USAGE_LEVEL","CONSIDERING_CHANGE_OF_PLAN","LEAVE"
"zero",105936,0,17,296826,566,0,5,"unsat","high","never_thought","STAY"
"zero",23499,0,74,391123,201,0,13,"very_unsat","very_little","no","STAY"
"zero",117551,64,34,692557,647,4,2,"very_unsat","very_high","actively_looking_into_it","STAY"
"one",33962,40,36,418041,182,4,1,"sat","very_little","considering","LEAVE"
"one",43327,84,30,401109,233,5,1,"sat","very_high","no","STAY"
"zero",46858,0,16,901635,154,0,5,"very_unsat","little","considering","STAY"
"zero",28361,201,18,818664,360,28,4,"very_unsat","little","no","STAY"
"one",80421,0,0,221341,308,0,15,"avg","very_high","actively_looking_into_it","LEAVE"
"zero",105926,0,13,801727,658,0,6,"very_unsat","very_high","considering","STAY"
"one",48273,71,0,414753,130,3,2,"avg","little","no","LEAVE"
"zero",122534,0,55,483254,395,1,2,"very_unsat","little","actively_looking_into_it","STAY"
"one",40741,83,0,443704,158,4,14,"unsat","little","no","LEAVE"
"zero",131938,48,24,940044,539,3,4,"unsat","avg","considering","LEAVE"
"zero",98135,0,21,825150,314,0,4,"very_unsat","little","actively_looking_into_it","LEAVE"
"one",76483,162,0,383393,368,3,14,"very_unsat","very_little","considering","LEAVE"
"one",88120,0,59,977524,390,1,2,"very_unsat","little","no","STAY"
"zero",30826,205,0,802116,212,11,11,"very_unsat","little","considering","STAY"
"zero",60890,197,0,645244,371,14,12,"very_sat","little","considering","STAY"
"zero",49744,157,0,237629,203,23,12,"very_unsat","little","considering","LEAVE"
"one",71092,0,0,303478,311,0,12,"very_unsat","little","no","STAY"
"one",73910,0,42,973039,331,0,2,"very_sat","avg","considering","STAY"
"zero",93029,0,0,800103,334,0,15,"very_unsat","very_high","considering","STAY"
"zero",70715,175,24,533978,292,24,4,"unsat","little","no","STAY"
"one",155889,61,9,892645,845,4,5,"very_unsat","very_high","no","STAY"
"zero",130685,221,33,492918,446,26,1,"very_unsat","high","never_thought","LEAVE"
"one",32763,68,0,689442,241,3,8,"very_unsat","very_high","considering","STAY"
"one",101890,42,82,211269,445,4,1,"unsat","very_little","considering","LEAVE"
"zero",76319,209,0,928608,327,15,9,"unsat","very_high","no","STAY"
"zero",21115,0,0,576673,189,1,14,"very_unsat","very_high","considering","LEAVE"
"one",68949,0,0,441415,320,0,10,"very_sat","very_high","actively_looking_into_it","LEAVE"
"one",59898,197,44,509727,762,1,1,"unsat","little","considering","STAY"
"zero",150130,204,0,365531,567,23,9,"very_sat","avg","considering","STAY"
"zero",104980,56,11,268912,739,5,2,"very_sat","little","no","LEAVE"
"one",93987,250,23,621644,397,29,5,"very_unsat","very_little","actively_looking_into_it","LEAVE"
"zero",152370,0,36,990619,819,1,2,"very_sat","avg","considering","STAY"
"one",139298,0,64,401089,512,1,2,"unsat","little","considering","STAY"
"zero",77227,198,21,869799,341,27,4,"very_sat","little","no","STAY"
"one",88210,0,15,355661,330,1,6,"unsat","little","actively_looking_into_it","STAY"
"zero",24863,178,0,575270,132,11,8,"unsat","very_little","never_thought","LEAVE"
"zero",122689,206,12,453981,655,28,6,"very_sat","very_high","considering","STAY"
"zero",22955,231,12,762471,220,21,5,"very_unsat","very_high","actively_looking_into_it","STAY"
"one",42225,78,14,860765,563,5,5,"unsat","very_high","considering","LEAVE"
"one",124779,0,22,575432,570,0,4,"very_unsat","little","actively_looking_into_it","STAY"
"zero",46723,0,0,334592,711,1,8,"unsat","little","considering","LEAVE"
"zero",151043,177,0,925388,863,29,2,"very_unsat","little","considering","LEAVE"
"one",58357,60,0,430845,857,3,10,"very_unsat","high","considering","LEAVE"
"one",110518,0,57,228224,303,4,2,"unsat","avg","actively_looking_into_it","STAY"
"one",35320,0,0,750221,165,1,15,"very_unsat","little","considering","LEAVE"
"one",108161,46,41,196650,548,5,1,"very_unsat","very_little","perhaps","STAY"
"one",48009,0,0,485818,223,0,9,"sat","very_little","considering","LEAVE"
"zero",81097,174,72,296085,399,28,2,"unsat","little","no","LEAVE"
"one",77029,195,30,914236,367,0,2,"unsat","little","never_thought","STAY"
"one",154433,142,16,278166,760,21,5,"unsat","little","considering","STAY"
"zero",61688,56,0,739665,381,4,8,"very_unsat","very_little","considering","STAY"
"zero",42792,59,13,445117,293,3,6,"very_unsat","very_high","actively_looking_into_it","LEAVE"
"zero",51070,0,0,290909,300,1,12,"very_unsat","very_little","considering","STAY"
"one",148774,76,29,927542,470,3,2,"unsat","little","actively_looking_into_it","LEAVE"
"zero",139659,0,0,671950,404,1,4,"very_unsat","little","considering","STAY"
"zero",99264,73,38,861653,277,4,1,"unsat","very_high","considering","LEAVE"
"one",54291,0,0,280443,288,0,6,"very_unsat","little","never_thought","LEAVE"
"zero",120239,225,0,213135,419,29,15,"avg","little","never_thought","LEAVE"
"one",157658,0,5,177566,802,21,10,"very_unsat","little","actively_looking_into_it","STAY"
"zero",24156,203,0,912308,182,11,14,"unsat","very_high","no","STAY"
"zero",70863,186,9,705316,546,19,5,"sat","very_high","no","STAY"
"one",24826,0,68,165874,170,1,6,"sat","very_high","perhaps","LEAVE"
"zero",20968,156,69,541385,214,18,1,"very_unsat","very_little","actively_looking_into_it","LEAVE"
"zero",50441,206,0,232061,257,24,8,"very_unsat","very_high","actively_looking_into_it","LEAVE"
"zero",125986,0,0,464180,605,1,6,"very_unsat","little","actively_looking_into_it","STAY"
"zero",23474,67,37,705581,217,3,4,"very_unsat","very_little","never_thought","LEAVE"
"one",81266,50,21,413847,384,5,6,"very_unsat","little","no","STAY"
"zero",48313,0,59,523256,172,1,1,"unsat","very_high","considering","STAY"
"zero",21100,0,0,885528,160,0,15,"avg","very_high","considering","LEAVE"
"zero",24267,59,28,219090,202,5,2,"unsat","high","considering","LEAVE"
"zero",42989,0,0,536956,245,1,8,"very_unsat","high","considering","LEAVE"
"zero",51387,0,85,619070,266,0,1,"very_unsat","little","considering","STAY"
"zero",68213,47,0,796028,377,26,14,"very_unsat","little","no","STAY"
"one",25895,65,21,411610,233,21,6,"very_unsat","very_little","no","LEAVE"
"one",98061,223,6,323792,301,29,2,"avg","very_high","actively_looking_into_it","LEAVE"
"zero",36798,36,6,292353,150,3,6,"very_sat","little","perhaps","STAY"
"zero",96893,0,70,347133,278,0,1,"very_unsat","very_little","no","STAY"
"zero",88691,194,17,151232,380,13,5,"unsat","very_high","considering","LEAVE"
"one",61973,183,36,433934,290,23,2,"very_unsat","avg","actively_looking_into_it","STAY"
"zero",29096,0,54,689832,179,0,1,"very_sat","little","considering","STAY"
"zero",56365,193,24,365479,334,20,6,"very_unsat","avg","considering","LEAVE"
"one",145387,182,35,281234,491,29,2,"very_sat","little","actively_looking_into_it","LEAVE"
"one",129209,164,11,213178,799,16,6,"unsat","little","actively_looking_into_it","LEAVE"
"one",154539,82,0,407870,890,4,11,"very_unsat","little","considering","STAY"
"one",51536,66,8,255458,281,4,5,"very_sat","very_little","considering","STAY"
"zero",52225,66,13,241866,356,3,5,"very_unsat","very_high","actively_looking_into_it","STAY"
"zero",85395,0,17,238593,339,0,6,"avg","very_high","never_thought","STAY"
"zero",94167,61,54,913781,261,5,1,"very_sat","very_little","considering","STAY"
"zero",38004,233,0,688467,209,25,8,"very_unsat","very_little","considering","STAY"
"zero",132865,0,5,813681,553,1,4,"very_sat","high","never_thought","STAY"
"zero",128215,238,66,271525,722,21,1,"very_sat","little","actively_looking_into_it","LEAVE"
"zero",127794,196,77,644930,689,3,2,"very_unsat","little","considering","LEAVE"
"zero",46623,53,72,244236,196,4,1,"very_unsat","little","no","STAY"
"zero",75248,0,26,363464,290,1,2,"very_sat","very_high","considering","STAY"
"one",22459,0,0,261921,231,1,12,"avg","very_high","actively_looking_into_it","STAY"
"one",91560,60,21,390519,364,4,4,"very_unsat","little","considering","STAY"
"zero",35996,231,13,558516,130,11,6,"very_unsat","very_high","actively_looking_into_it","STAY"
"zero",56935,230,50,597466,368,20,8,"very_sat","high","considering","LEAVE"
"zero",34272,72,0,692955,248,3,8,"avg","little","actively_looking_into_it","STAY"
"zero",93589,0,0,577881,303,1,11,"very_unsat","little","no","LEAVE"
"zero",26918,0,10,261614,179,0,6,"sat","little","actively_looking_into_it","STAY"
"one",119486,191,0,338041,432,25,13,"very_unsat","high","considering","LEAVE"
"zero",53811,185,9,581534,304,19,2,"very_unsat","very_high","no","LEAVE"
"zero",36087,0,79,571562,173,1,1,"avg","very_high","actively_looking_into_it","STAY"
"one",132113,217,15,256478,424,13,6,"avg","very_high","no","LEAVE"
"one",151171,182,6,362111,661,11,5,"very_unsat","little","perhaps","LEAVE"
"zero",45932,244,19,196132,167,27,5,"very_unsat","very_little","never_thought","LEAVE"
"one",34432,0,32,508754,242,0,2,"unsat","very_high","considering","LEAVE"
"one",150712,184,86,390577,899,24,1,"unsat","little","considering","LEAVE"
"zero",90230,0,71,269304,265,5,1,"unsat","very_little","no","STAY"
"one",84031,237,50,619431,398,4,1,"very_sat","little","actively_looking_into_it","STAY"
"zero",68388,0,0,263876,318,1,15,"very_unsat","little","never_thought","STAY"
"one",49461,158,18,465624,195,28,4,"very_sat","little","actively_looking_into_it","LEAVE"
"one",134733,0,0,153973,653,1,10,"very_sat","little","considering","LEAVE"
"one",30129,218,86,239046,167,19,2,"very_unsat","avg","no","STAY"
"zero",26197,235,0,510187,145,25,9,"avg","very_high","no","STAY"
"one",62678,0,11,422047,297,1,8,"unsat","little","no","STAY"
"zero",49419,0,48,435953,139,0,2,"very_unsat","little","considering","LEAVE"
"zero",64430,61,0,313880,295,3,13,"very_sat","very_high","never_thought","STAY"
"zero",31515,83,0,543734,236,4,11,"very_sat","very_little","considering","STAY"
"one",46311,0,0,795188,153,1,8,"very_unsat","very_little","considering","LEAVE"
"one",46084,44,13,410027,141,3,5,"very_sat","very_high","considering","STAY"
"zero",25521,0,0,376753,660,14,9,"very_unsat","very_high","considering","STAY"
"one",47925,0,21,665811,232,1,6,"very_unsat","very_high","no","STAY"
"one",83047,186,17,569722,342,25,4,"unsat","high","never_thought","LEAVE"
"one",22876,75,0,257844,149,5,4,"very_unsat","very_little","considering","STAY"
"zero",97168,0,0,405735,255,0,2,"very_unsat","little","no","LEAVE"
"one",42710,0,0,839786,194,1,13,"very_sat","little","no","LEAVE"
"zero",136003,0,33,189319,662,0,2,"very_sat","very_high","actively_looking_into_it","STAY"
"zero",88339,0,0,692227,378,0,10,"very_sat","little","considering","STAY"
"one",24386,192,22,284776,197,18,6,"very_sat","little","no","LEAVE"
"zero",42700,0,36,317656,240,24,2,"very_unsat","little","no","LEAVE"
"zero",130273,67,47,485594,168,0,1,"very_sat","very_high","considering","STAY"
"one",20015,0,17,427327,207,1,5,"unsat","avg","no","LEAVE"
"one",66984,213,0,479545,325,20,12,"unsat","very_little","perhaps","LEAVE"
"zero",47059,195,0,547571,155,10,12,"very_unsat","little","considering","LEAVE"
"zero",150046,193,13,550588,517,17,4,"very_unsat","very_high","no","LEAVE"
"one",150246,239,69,184259,481,11,12,"sat","little","no","LEAVE"
"one",38813,49,14,202240,131,3,4,"very_sat","little","never_thought","LEAVE"
"zero",47298,57,23,384501,142,20,1,"very_sat","high","considering","STAY"
"one",76840,39,20,201608,298,4,4,"unsat","very_little","no","STAY"
"one",159732,155,61,847956,810,3,2,"very_unsat","very_little","no","LEAVE"
"zero",49222,0,88,209555,160,0,2,"very_unsat","very_high","no","STAY"
"one",144765,234,0,286837,793,11,15,"very_unsat","little","actively_looking_into_it","LEAVE"
"zero",119888,0,48,167584,147,5,1,"unsat","little","considering","LEAVE"
"zero",149202,79,0,992910,523,5,10,"unsat","very_little","considering","LEAVE"
"one",48392,0,22,400141,162,24,5,"very_unsat","high","never_thought","LEAVE"
"one",36576,63,30,232553,227,4,1,"sat","little","actively_looking_into_it","STAY"
"zero",22839,211,14,939942,225,16,4,"very_sat","very_high","considering","STAY"
"one",54038,0,45,475132,315,0,1,"very_unsat","very_high","actively_looking_into_it","STAY"
"one",37632,0,61,954621,131,1,2,"very_unsat","high","considering","STAY"
"one",102998,76,0,594210,779,4,10,"very_sat","very_little","actively_looking_into_it","LEAVE"
"one",137597,0,0,549081,655,0,15,"very_sat","little","no","LEAVE"
"one",143122,217,20,502318,859,18,4,"unsat","little","perhaps","LEAVE"
"one",69264,0,19,164046,355,1,5,"very_unsat","high","considering","STAY"
"one",24570,52,11,877173,132,5,6,"very_unsat","little","never_thought","STAY"
"one",92666,220,34,526328,300,15,1,"very_sat","very_little","actively_looking_into_it","LEAVE"
"one",20602,0,0,658441,159,1,1,"sat","very_high","considering","STAY"
"one",93783,221,0,239656,319,15,4,"very_sat","very_little","actively_looking_into_it","LEAVE"
"zero",25227,160,69,249245,145,24,2,"avg","very_high","no","STAY"
"zero",119701,58,64,775604,830,3,2,"very_sat","very_little","actively_looking_into_it","STAY"
"one",83759,188,12,243117,289,22,6,"very_unsat","little","never_thought","LEAVE"
"zero",130841,225,0,796423,401,12,8,"very_unsat","little","considering","LEAVE"
"zero",45291,247,38,211870,203,25,1,"unsat","very_little","considering","LEAVE"
"zero",123565,33,31,290728,427,3,1,"avg","high","actively_looking_into_it","STAY"
"zero",95868,25,0,470144,314,3,9,"unsat","very_high","considering","LEAVE"
"zero",42196,178,0,329349,220,19,8,"very_unsat","avg","actively_looking_into_it","LEAVE"
"one",125172,0,22,738433,691,3,4,"very_unsat","very_high","considering","STAY"
"zero",28760,0,24,331795,185,0,8,"very_sat","little","considering","STAY"
"zero",107047,0,9,238839,605,1,5,"very_unsat","little","actively_looking_into_it","STAY"
"one",80209,0,0,564194,317,0,1,"very_unsat","little","considering","LEAVE"
"zero",53117,0,21,661282,316,1,6,"very_unsat","little","considering","STAY"
"one",25134,0,7,697377,162,0,5,"very_sat","little","considering","STAY"
"one",35166,186,12,301123,167,21,6,"very_sat","little","never_thought","LEAVE"
"zero",148462,179,35,711140,501,27,1,"very_sat","very_little","considering","LEAVE"
"one",115484,0,0,193290,599,0,13,"very_unsat","little","never_thought","LEAVE"
"zero",152693,71,55,295193,616,4,1,"very_unsat","very_high","actively_looking_into_it","STAY"
"one",158526,0,26,516712,644,1,1,"very_sat","little","actively_looking_into_it","STAY"
"zero",48515,176,0,507564,697,25,12,"very_unsat","high","actively_looking_into_it","LEAVE"
"zero",38408,211,0,251410,181,0,11,"very_sat","little","considering","LEAVE"
"zero",89711,62,0,254291,272,3,14,"avg","very_little","considering","STAY"
"zero",68775,37,0,555186,358,3,9,"sat","very_little","no","STAY"
"one",70358,66,6,183463,295,5,6,"very_sat","little","perhaps","STAY"
"zero",34102,55,30,258260,235,3,2,"very_unsat","very_high","actively_looking_into_it","LEAVE"
"one",28654,0,21,738157,196,1,4,"very_sat","very_high","considering","STAY"
"zero",140996,42,56,253467,492,3,2,"unsat","very_little","no","LEAVE"
"zero",68798,0,13,749117,288,1,5,"very_sat","very_high","considering","STAY"
"one",149337,62,89,183310,414,4,2,"very_sat","little","no","STAY"
"zero",43270,0,0,206387,184,1,14,"very_unsat","little","actively_looking_into_it","STAY"
"zero",29247,149,47,999989,207,23,1,"avg","little","never_thought","STAY"
"one",76482,0,12,226193,278,0,6,"unsat","avg","never_thought","STAY"
"zero",38540,214,60,758669,228,17,1,"sat","very_high","actively_looking_into_it","STAY"
"one",45736,204,7,909070,248,17,6,"very_sat","very_little","considering","STAY"
"one",64193,163,19,673676,230,18,4,"unsat","little","considering","STAY"
"one",28156,71,5,199278,225,3,6,"very_unsat","very_little","no","LEAVE"
"one",90515,62,0,659860,359,3,14,"very_unsat","very_little","perhaps","STAY"
"one",102577,50,0,415541,182,5,11,"very_sat","very_high","actively_looking_into_it","LEAVE"
"one",71352,61,0,992140,269,3,10,"avg","very_high","considering","STAY"
"one",74839,0,79,767711,374,0,2,"very_sat","little","considering","LEAVE"
"zero",61304,55,0,159716,292,4,13,"very_sat","avg","actively_looking_into_it","STAY"
"one",59221,0,42,452242,399,11,1,"very_sat","little","actively_looking_into_it","LEAVE"
"zero",135654,62,0,237053,568,5,13,"very_sat","very_little","never_thought","LEAVE"
"one",58252,58,88,823993,394,4,1,"very_sat","very_high","no","STAY"
"one",115224,0,21,296835,410,1,5,"avg","very_high","never_thought","STAY"
"one",115217,0,54,378496,491,1,2,"very_unsat","very_high","considering","STAY"
"one",66658,149,85,418111,265,21,2,"very_sat","very_high","never_thought","LEAVE"
"zero",52079,43,0,770659,351,4,12,"sat","little","considering","STAY"
"zero",84136,250,0,449943,390,17,11,"very_unsat","very_high","perhaps","STAY"
"zero",146401,51,81,783433,634,4,1,"very_sat","very_little","actively_looking_into_it","LEAVE"
"zero",87736,35,0,819910,396,3,8,"very_unsat","very_little","considering","STAY"
"one",131593,64,61,424137,711,5,2,"very_sat","very_little","no","LEAVE"
"zero",40861,204,65,200056,206,11,8,"very_sat","very_high","actively_looking_into_it","LEAVE"
"one",24992,0,83,565530,246,1,1,"unsat","very_high","considering","LEAVE"
"one",136907,225,26,190005,178,28,1,"very_sat","very_high","no","LEAVE"
"one",60291,0,64,838012,279,0,2,"unsat","little","considering","STAY"
"one",135959,199,17,593945,744,1,6,"very_unsat","very_high","considering","LEAVE"
"zero",28274,211,46,249075,191,20,2,"avg","avg","considering","LEAVE"
"zero",96808,0,56,413429,307,0,11,"very_sat","very_little","considering","LEAVE"
"one",158179,226,21,269368,478,18,5,"avg","very_high","actively_looking_into_it","LEAVE"
"zero",77999,0,43,397326,256,1,4,"very_unsat","high","no","LEAVE"
"zero",20658,59,6,604559,246,3,6,"very_unsat","little","actively_looking_into_it","STAY"
"one",129049,209,0,168122,869,21,9,"unsat","little","never_thought","LEAVE"
"zero",38216,189,59,336944,248,10,1,"very_sat","very_high","actively_looking_into_it","LEAVE"
"one",125175,246,56,317495,521,19,2,"very_unsat","very_little","actively_looking_into_it","STAY"
"one",105982,0,0,295801,550,1,10,"unsat","little","actively_looking_into_it","LEAVE"
"zero",151455,193,6,193703,620,10,6,"very_sat","very_high","considering","STAY"
"one",157243,59,0,263072,802,4,5,"very_sat","very_high","no","STAY"
"one",23214,0,77,825203,242,0,2,"unsat","very_high","never_thought","STAY"
"one",32694,221,0,188039,187,23,9,"very_sat","very_little","actively_looking_into_it","LEAVE"
"one",139262,0,0,475897,502,20,14,"sat","very_high","actively_looking_into_it","LEAVE"
"zero",62761,198,13,275194,385,25,6,"very_unsat","little","no","STAY"
"zero",20671,0,0,264646,232,1,4,"unsat","very_little","never_thought","STAY"
"zero",85310,73,0,386802,378,5,8,"very_unsat","very_high","considering","LEAVE"
"one",129374,190,75,745801,543,15,2,"very_sat","very_little","no","STAY"
"one",86921,0,0,194096,345,1,13,"very_unsat","high","no","STAY"
"one",96385,0,23,749110,371,1,4,"very_sat","little","considering","STAY"
"one",23199,219,0,229223,137,20,6,"very_sat","little","no","LEAVE"
"one",20612,191,0,436832,200,16,15,"very_unsat","little","actively_looking_into_it","LEAVE"
"one",28129,0,54,257327,249,0,2,"very_sat","little","considering","LEAVE"
"zero",52645,0,38,548394,274,1,1,"very_unsat","very_little","actively_looking_into_it","STAY"
"one",61907,198,24,300637,296,17,8,"very_unsat","little","perhaps","LEAVE"
"zero",76997,0,21,234577,297,14,5,"very_unsat","little","perhaps","STAY"
"zero",41346,67,89,651836,239,3,1,"unsat","little","never_thought","STAY"
"zero",73986,68,15,532621,291,3,12,"avg","very_high","no","STAY"
"zero",133695,69,0,910584,614,4,12,"very_unsat","very_little","considering","LEAVE"
"zero",76523,199,22,510375,367,21,5,"very_unsat","very_high","considering","LEAVE"
"zero",119576,209,0,790434,717,13,13,"unsat","little","considering","LEAVE"
"zero",138207,185,64,855710,430,27,1,"very_unsat","very_little","perhaps","LEAVE"
"one",86530,0,51,735688,392,1,2,"very_sat","very_high","considering","STAY"
"zero",75712,36,32,876562,265,3,1,"avg","very_little","no","STAY"
"one",32322,217,22,507771,229,19,4,"unsat","little","considering","STAY"
"one",114768,0,0,724116,485,0,9,"very_sat","very_high","actively_looking_into_it","LEAVE"
"one",31001,217,0,273604,216,14,11,"unsat","very_little","perhaps","LEAVE"
"one",89621,0,0,709615,348,0,14,"very_sat","little","actively_looking_into_it","STAY"
"zero",139799,179,14,265766,629,29,4,"very_unsat","avg","no","LEAVE"
"one",22457,0,48,945820,231,0,6,"very_sat","avg","no","STAY"
"one",129733,141,61,753397,248,28,1,"very_unsat","little","considering","LEAVE"
"zero",82781,58,66,567406,387,22,2,"unsat","little","considering","STAY"
"one",148349,0,70,444371,716,1,4,"very_unsat","very_little","never_thought","LEAVE"
"one",25676,0,0,645621,190,1,14,"avg","very_little","no","STAY"
"one",41442,44,43,822702,270,5,2,"very_unsat","little","considering","STAY"
"one",20667,228,41,296001,304,11,1,"very_unsat","high","considering","LEAVE"
"one",72474,194,39,693398,358,14,2,"unsat","very_high","actively_looking_into_it","STAY"
"one",133286,0,80,757162,688,3,1,"very_sat","little","considering","LEAVE"
"one",24086,193,62,218721,305,21,2,"very_unsat","very_high","no","LEAVE"
"zero",34173,178,0,545434,149,16,8,"very_unsat","little","no","LEAVE"
"zero",75628,82,0,493044,312,3,10,"avg","little","considering","STAY"
"one",50910,204,72,602885,224,18,2,"very_unsat","little","actively_looking_into_it","STAY"
"zero",66552,200,10,433568,341,23,6,"very_sat","little","never_thought","LEAVE"
"zero",144698,0,5,445482,892,1,2,"very_unsat","very_little","considering","STAY"
"zero",116591,39,0,203142,674,5,9,"unsat","high","actively_looking_into_it","STAY"
"one",142163,184,0,156940,248,10,10,"sat","little","never_thought","LEAVE"
"zero",39020,65,0,875976,211,5,13,"very_unsat","very_high","considering","STAY"
"zero",43131,0,0,951448,238,0,12,"very_unsat","very_high","considering","STAY"
"one",49843,51,16,209118,170,4,6,"very_sat","little","considering","LEAVE"
"one",113108,210,0,276697,455,24,15,"very_sat","very_high","actively_looking_into_it","LEAVE"
"one",124864,203,83,677694,737,11,2,"unsat","very_little","considering","LEAVE"
"one",22216,0,78,456188,240,3,1,"avg","little","considering","STAY"
"one",64207,49,66,272473,348,3,2,"unsat","very_little","no","LEAVE"
"zero",73895,53,20,243702,415,5,4,"very_unsat","very_high","considering","STAY"
"one",29215,208,85,224784,241,21,1,"very_unsat","little","never_thought","STAY"
"one",125924,0,7,285912,449,1,5,"very_unsat","high","no","STAY"
"one",40260,0,0,786518,207,0,1,"very_unsat","very_little","actively_looking_into_it","LEAVE"
"zero",45758,67,61,293683,213,4,6,"unsat","very_little","considering","LEAVE"
"zero",42663,0,34,644297,220,1,1,"very_sat","avg","no","STAY"
"zero",35031,0,53,964106,374,0,1,"unsat","little","perhaps","STAY"
"one",139697,227,15,828069,524,29,4,"very_sat","very_high","no","LEAVE"
"one",126269,189,79,267676,722,5,2,"unsat","very_high","no","LEAVE"
"one",87835,208,0,338176,327,15,14,"unsat","very_high","actively_looking_into_it","STAY"
"one",44060,52,14,274178,167,4,5,"very_unsat","little","no","STAY"
"zero",25285,205,0,214087,201,3,10,"very_sat","very_high","considering","LEAVE"
"zero",99979,60,17,817700,289,5,2,"very_unsat","little","considering","STAY"
"zero",25336,0,53,164076,170,0,1,"very_sat","very_high","never_thought","LEAVE"
"zero",133941,52,20,378236,897,3,6,"very_sat","very_high","considering","LEAVE"
"zero",94819,48,0,183156,311,5,14,"avg","high","actively_looking_into_it","STAY"
"one",37879,76,9,202581,185,5,5,"avg","little","considering","LEAVE"
"zero",99478,0,0,798725,388,22,8,"very_sat","little","actively_looking_into_it","LEAVE"
"zero",115970,58,0,298351,592,4,6,"very_unsat","very_high","actively_looking_into_it","STAY"
"zero",29098,0,38,561175,163,1,1,"very_unsat","little","considering","LEAVE"
"zero",151214,0,20,227874,779,1,6,"very_sat","very_high","actively_looking_into_it","STAY"
"one",127455,72,75,553716,669,5,2,"very_unsat","very_little","considering","STAY"
"one",28003,199,0,790813,636,13,9,"very_unsat","very_high","considering","STAY"
"zero",137917,81,21,583815,240,5,5,"unsat","little","considering","STAY"
"zero",93357,156,0,242948,312,16,14,"very_unsat","very_high","never_thought","LEAVE"
"one",38771,0,0,275870,248,1,15,"very_unsat","high","considering","STAY"
"zero",50093,160,44,287113,396,11,2,"very_unsat","very_high","never_thought","LEAVE"
"one",65785,0,17,386876,272,23,5,"unsat","high","considering","LEAVE"
"one",68751,208,6,210454,275,29,4,"very_unsat","very_high","no","LEAVE"
"one",100818,76,17,893922,828,5,1,"very_sat","very_high","no","STAY"
"zero",46786,44,0,964756,193,5,8,"very_unsat","little","considering","STAY"
"zero",106356,59,5,710178,608,5,6,"very_unsat","little","no","LEAVE"
"one",104983,54,6,919670,664,4,6,"very_unsat","little","considering","STAY"
"one",52247,241,0,171176,268,27,8,"unsat","very_high","considering","LEAVE"
"one",21259,190,0,670978,222,26,15,"avg","very_little","no","STAY"
"zero",45944,0,82,969800,158,1,2,"very_sat","little","no","STAY"
"one",43591,28,43,285723,169,3,1,"very_unsat","very_high","actively_looking_into_it","STAY"
"one",99376,218,0,310989,297,26,14,"very_sat","very_high","considering","STAY"
"one",59661,44,21,800520,304,5,6,"very_sat","very_high","considering","STAY"
"one",47929,0,28,381762,152,0,1,"avg","very_high","actively_looking_into_it","LEAVE"
"zero",71645,219,44,550491,253,17,1,"very_sat","little","considering","LEAVE"
